"","district","state","year.x","ins.units","farmers","loanee","nonloanee","area.ins","farmers.premium","state.premium","goi.premium","gross.premium","sum.insured","male.pt","female.pt","othergen.pt","sc.pt","st.pt","obc.pt","gen.pt","marginal.pt","small.pt","othertype.pt","jan.rf","jan.ptdef","feb.rf","feb.ptdef","mar.rf","mar.ptdef","apr.rf","apr.ptdef","may.rf","may.ptdef","jun.rf","jun.ptdef","jul.rf","jul.ptdef","aug.rf","aug.ptdef","sep.rf","sep.ptdef","oct.rf","oct.ptdef","nov.rf","nov.ptdef","dec.rf","dec.ptdef","area","prod","yield","Dist Code","year.y","State Code","icr2017_area","icr2017_prod","icr2017_yield","f.it"
"253","Dausa","Rajasthan",2021,273,62648,239733,68,32.14,271.83,688.07,684.54,1644.44,13592.19,0.9075,0.0922,3e-04,0.0834,0.3739,0.3786,0.1641,0.2766,0.6225,0.1009,"34.4","4.29","0","-1","7","0.67","0","-1","85","4.59","52.2","-0.13","225.4","0",256.2,0.24,167.2,0.79,7.6,-0.42,"0","-1","1.4","-0.67",185.411,375399.65,14.1,537,2017,10,350.79,760.23,20863,0.0916217680093503
"254","Dehradun","Uttarakhand",2019,27,1765,1099,1103,0.53,6.98,2.09,2.09,11.16,348.96,0.921,0.0786,4e-04,0.0654,0.4278,0.084,0.4228,0.2466,0.7393,0.0141,"68.8","0.79","113.2","1.01","41.6","-0.2","27.7","0.1","25.4","-0.52","89.8","-0.5","336.3","-0.39",364.6,-0.33,301.3,0.22,22.6,-0.38,"23.2","1.25","35.8","0.73",19.304,45442,31.67,244,2017,16,60.37,110.93,23074,0.00877919496438628
"255","Dehradun","Uttarakhand",2020,28,1328,670,800,0.46,6.42,7.14,7.14,20.7,321.03,0.917,0.083,0,0.0449,0.3776,0.0925,0.485,0.2612,0.717,0.0218,"124.7","2.24","69.5","0.23","157.1","2.03","68.4","1.71","36.6","-0.31","124.4","-0.31","446.2","-0.2",465,-0.14,94.3,-0.62,0,-1,"31.5","2.05","16.4","-0.21",18.991,47486,29.34,244,2017,16,60.37,110.93,23074,0.00761967864833527
"256","Dehradun","Uttarakhand",2018,24,2278,2163,211,0.99,12.7,1.88,1.88,16.46,673.64,0.9238,0.0762,0,0.0674,0.2919,0.227,0.4137,0.3585,0.5644,0.0771,"22.9","-0.56","16.3","-0.67","16.6","-0.67","34.4","0.42","34.5","-0.32","187.7","0.01","654.1","-0.04",622.4,-0.08,269.9,0.04,6.9,-0.89,"17","0.32","3.5","-0.83",20.169,42794,28.66,244,2017,16,60.37,110.93,23074,0.0163988736127216
"257","Dehradun","Uttarakhand",2021,113,1495,688,1220,0.6,8,13.42,13.42,34.84,400.18,0.9277,0.0723,0,0.0608,0.479,0.0907,0.3695,0.1971,0.7584,0.0445,"30.3","-0.21","27.8","-0.51","7.7","-0.85","47.8","0.9","145.8","1.73","175.8","-0.03","570.3","0.03",366.7,-0.32,249.6,0.01,65.1,0.78,"0","-1","14.5","-0.3",18.165,48229,29.86,244,2017,16,60.37,110.93,23074,0.0099387112804373
"258","Deoria","Uttar Pradesh",2019,1014,31834,31948,15775,24.31,243.07,729.01,729.01,1701.09,12153.53,0.9018,0.0982,0,0.0319,0.0133,0.3048,0.65,0.1454,0.8029,0.0517,"11","0.18","18.2","0.95","3.3","-0.45","14.2","0.54","0","-1","105","-0.17","369.4","0.21",79.5,-0.7,260.9,0.46,2,-0.95,"0","-1","33","6.5",151.069,1087563,98.47,222,2017,12,318.47,880.84,28111,0.0763337206016265
"259","Deoria","Uttar Pradesh",2018,1126,38246,38503,796,33.14,290.73,508.76,508.76,1308.25,14536.41,0.9291,0.0707,2e-04,0.0132,0.0032,0.1517,0.8319,0.2025,0.7052,0.0923,"0.5","-0.96","0.5","-0.97","0.5","-0.95","24","1.76","22","-0.08","49.7","-0.63","148.3","-0.53",189.5,-0.37,54,-0.73,0,-1,"0","-1","0","-1",153.779,939081,96.9,222,2017,12,318.47,880.84,28111,0.104060037052156
"260","Deoria","Uttar Pradesh",2020,1038,27829,31409,298,19.1,231.81,307.97,307.91,847.69,11590.55,0.9247,0.0753,0,0.0047,0.0021,0.0987,0.8945,0.1155,0.8337,0.0508,"5.5","-0.41","21","1.26","19.5","2.31","55.5","5.03","62.5","1.16","273","1.16","351.7","0.15",207,-0.21,257,0.44,0,-1,"0.5","-0.76","0","-1",149.603,631501,88.03,222,2017,12,318.47,880.84,28111,0.059974251891858
"261","Dewas","Madhya Pradesh",2018,518,171637,182599,6195,438.99,2802.93,12522.35,12522.35,27847.63,139984.24,0.8765,0.122,0.0015,0.0584,0.0841,0.5602,0.2973,0.1931,0.5387,0.2682,"0","-1","2.2","-0.45","0","-1","0","-1","0","-1","176.3","0.38","247.8","-0.2",154,-0.53,92.5,-0.48,2.7,-0.92,"0","-1","0","-1",410.918,520558.33,12.59,32,2017,6,855.55,1520.18,20628,0.513108526678745
"262","Dewas","Madhya Pradesh",2021,515,138552,231996,359,464.79,3319.6,14117.57,14117.57,31554.74,165980.1,0.877,0.1221,9e-04,0.0519,0.0744,0.5869,0.2868,0.1154,0.5809,0.3037,"3.2","-0.25","1.2","-0.64","5.4","0.92","0","-1","7.4","0.2","195","0.6","244.3","-0.17",227.8,-0.3,294.3,0.8,80.2,1.94,"0","-1","2","-0.76",421.61,483922.8,20.67,32,2017,6,855.55,1520.18,20628,0.54326456665303
"263","Dewas","Madhya Pradesh",2019,517,132468,212896,711,410.78,1966.24,8318.25,8318.25,18602.74,98159.22,0.878,0.121,0.001,0.0551,0.0843,0.5712,0.2894,0.1121,0.5792,0.3087,"0","-1","0","-1","0","-1","1.2","0.17","0","-1","69","-0.44","393.8","0.35",417.8,0.28,584.5,2.57,38.5,0.41,"1.2","-0.93","0","-1",415.15,293998,10.06,32,2017,6,855.55,1520.18,20628,0.480135585296008
"264","Dewas","Madhya Pradesh",2020,516,155305,180282,53882,445.55,3183.19,15110.86,15110.86,33404.91,159035.57,0.8622,0.1369,9e-04,0.0573,0.0785,0.5746,0.2896,0.125,0.5912,0.2838,"0.8","-0.81","0","-1","6.6","1.35","0","-1","2.7","-0.56","349.4","1.86","142.2","-0.51",617.8,0.9,277.8,0.7,3.4,-0.87,"0","-1","9.1","0.07",422.893,255398.67,9.91,32,2017,6,855.55,1520.18,20628,0.520776108935772
"265","Dhamtari","Chhattisgarh",2021,624,64437,245197,14420,77.42,729.08,2109.98,2109.98,4949.04,36453.99,0.8899,0.1095,6e-04,0.0409,0.285,0.6533,0.0208,0.2459,0.5677,0.1864,"0","-1","4.4","-0.44","1.5","-0.8","7.4","-0.06","59.8","2.81","269.7","0.52","204","-0.41",156.9,-0.5,325.9,0.67,23.9,-0.51,"25.4","2.35","41.3","9.31",184.924,508662,28.97,1056,2017,14,207.22,370.29,12106,0.373612585657755
"266","Dhamtari","Chhattisgarh",2020,623,60696,199377,9515,63.41,588.6,1704.45,1704.45,3997.5,29429.99,0.8913,0.1081,6e-04,0.0413,0.2744,0.6639,0.0204,0.2401,0.566,0.1939,"11","0.77","45.5","4.75","31.1","3.09","5.4","-0.32","59.7","2.8","279.2","0.58","249.6","-0.27",439.1,0.39,153.7,-0.21,65.2,0.33,"0.7","-0.91","0","-1",197.656,612626,24.38,1056,2017,14,207.22,370.29,12106,0.306003281536531
"267","Dhamtari","Chhattisgarh",2019,629,64764,212856,17547,82.22,681.24,1650.2,1650.2,3981.64,34062,0.8913,0.108,7e-04,0.0413,0.2713,0.668,0.0194,0.2411,0.5599,0.199,"2","-0.69","6.4","-0.19","18.7","1.46","14.5","0.84","16.6","0.05","277.7","0.57","266.7","-0.23",247.7,-0.21,330.2,0.69,106.4,1.17,"0","-1","0","-1",190.504,607183,14.15,1056,2017,14,207.22,370.29,12106,0.396776372936975
"268","Dhamtari","Chhattisgarh",2018,369,62684,64730,8755,81.85,674.97,1074.12,1074.12,2823.21,33748.37,0.8798,0.1197,5e-04,0.0457,0.2705,0.6475,0.0363,0.1799,0.6326,0.1875,"0","-1","22.4","1.49","0","-1","40.6","2.59","58.5","2.4","217.9","0.38","285","-0.2",478.5,0.47,101.9,-0.51,3.2,-0.94,"0","-1","60","17.75",181.263,437185,22.16,1056,2017,14,207.22,370.29,12106,0.394990831000869
"269","Dhanbad","Jharkhand",2019,229,28617,3429,27549,12.43,0.31,485.87,341.28,827.46,7244.89,0.7818,0.2164,0.0018,0.0245,0.0526,0.851,0.0719,0.0849,0.8999,0.0152,"0","-1","24.8","0.38","7.1","-0.64","40.5","0.75","58.6","0.11","108.5","-0.49","268.5","-0.17",251.2,-0.17,311.1,0.2,164.2,0.82,"0","-1","5.6","0.04",38.844,99828,11.65,914,2017,15,60.89,108.36,12900,0.204138610609295
"270","Dhanbad","Jharkhand",2018,229,23696,3873,23728,11.69,0,402.04,272.91,674.95,6456.3,0.8099,0.189,0.0011,0.045,0.0562,0.7004,0.1984,0.045,0.9354,0.0196,"0","-1","0","-1","0","-1","63.9","2.51","45.6","-0.08","186.7","-0.07","243.6","-0.28",196.7,-0.37,127.2,-0.53,21.5,-0.78,"0","-1","17.5","1.83",43.004,45591,10.35,914,2017,15,60.89,108.36,12900,0.191985547708983
"271","Dhar","Madhya Pradesh",2021,656,97323,156152,333,249.74,1867.73,4033.35,4033.35,9934.43,84644.9,0.8676,0.1317,7e-04,0.023,0.2701,0.4665,0.2404,0.1153,0.558,0.3267,"6.5","1.41","3.7","1.88","0","-1","0","-1","4","-0.11","107","-0.15","185.3","-0.32",124.7,-0.55,233.5,0.42,74.2,1.14,"12.9","-0.12","23.8","5.27",485.39,1696592.42,22.1,33,2017,6,983.71,1849.9,27573,0.253875634079149
"272","Dhar","Madhya Pradesh",2019,658,104443,153603,527,254.23,1519.68,2071.3,2071.3,5662.28,61453.18,0.8724,0.1268,8e-04,0.0253,0.2986,0.45,0.2261,0.1321,0.5698,0.2981,"0","-1","0.3","-0.8","0","-1","5.7","3.79","0","-1","105.4","-0.16","302.5","0.11",461.3,0.68,348,1.12,63.6,0.83,"4.3","-0.71","0.1","-0.97",488.746,761096,16.01,33,2017,6,983.71,1849.9,27573,0.258439987394659
"273","Dhar","Madhya Pradesh",2020,637,89066,122029,5058,206.59,1511.14,2515.32,2515.32,6541.78,65110.76,0.8703,0.1289,8e-04,0.0241,0.2964,0.4511,0.2284,0.1323,0.5537,0.314,"0","-1","0","-1","4.1","1.3","0","-1","0.6","-0.86","167.9","0.34","130.2","-0.52",341.6,0.24,220.5,0.34,15.9,-0.54,"0","-1","21.5","4.67",487.747,642160.33,14.18,33,2017,6,983.71,1849.9,27573,0.210011080501367
